Date,New Cases,7-Day Moving Avg
19.04.2021,43863,66687
18.04.2021,54442,68602
17.04.2021,69694,68593
16.04.2021,76579,68389
15.04.2021,72956,69044
14.04.2021,73243,69456
13.04.2021,76033,69880
12.04.2021,57267,67763
11.04.2021,54380,68570
10.04.2021,68266,66735
9.04.2021,81166,66708
8.04.2021,75838,64475
7.04.2021,76214,64397
6.04.2021,61214,63445
5.04.2021,62912,63688
4.04.2021,41541,63528
3.04.2021,68073,64381
2.04.2021,65536,63700
1.04.2021,75291,64535
31.03.2021,69551,63503
30.03.2021,62916,63009
29.03.2021,61790,62515
28.03.2021,47514,61620
27.03.2021,63305,60421
26.03.2021,71380,60017
25.03.2021,68069,58609
24.03.2021,66089,57268
23.03.2021,59458,56153
22.03.2021,55531,55096
21.03.2021,39121,53651
20.03.2021,60474,53815
19.03.2021,61523,52727
18.03.2021,58683,52899
17.03.2021,58281,53223
16.03.2021,52059,53108
15.03.2021,45419,53236
14.03.2021,40271,52860
13.03.2021,52857,53112
12.03.2021,62725,53860
11.03.2021,60950,54344
10.03.2021,57475,55133
9.03.2021,52958,56046
8.03.2021,42788,56377
7.03.2021,42032,57505
6.03.2021,58096,58697
5.03.2021,66115,60442
4.03.2021,66472,61423
3.03.2021,63866,62476
2.03.2021,55276,63973
1.03.2021,50681,66043
28.02.2021,50379,66723
27.02.2021,70308,67254
26.02.2021,72985,67180
25.02.2021,73837,67161
24.02.2021,74351,66298
23.02.2021,69766,65587
22.02.2021,55435,63826
21.02.2021,54100,63774
20.02.2021,69789,65486
19.02.2021,72851,68208
18.02.2021,67798,71749
17.02.2021,69370,76545
16.02.2021,57444,80394
15.02.2021,55067,85268
14.02.2021,66088,89092
13.02.2021,88841,92647
12.02.2021,97636,95568
11.02.2021,101373,99801
10.02.2021,96314,103318
9.02.2021,91557,106613
8.02.2021,81835,110585
7.02.2021,90979,116773
6.02.2021,109284,119910
5.02.2021,127267,126546
4.02.2021,125993,129718
3.02.2021,119380,134298
2.02.2021,119357,139601
1.02.2021,125153,143941
31.01.2021,112939,145143
30.01.2021,155736,149044
29.01.2021,149474,151295
28.01.2021,158053,157132
27.01.2021,156500,161544
26.01.2021,149737,166120
25.01.2021,133568,165903
24.01.2021,140241,168361
23.01.2021,171494,174703
22.01.2021,190337,180824
21.01.2021,188934,188732
20.01.2021,188531,194062
19.01.2021,148217,199185
18.01.2021,150776,209733
17.01.2021,184636,216896
16.01.2021,214342,221736
15.01.2021,245689,226242
14.01.2021,226245,235902
13.01.2021,224395,243695
12.01.2021,222052,247379
11.01.2021,200914,249233
10.01.2021,218516,245973
9.01.2021,245885,244430
