"תאריך","שער","פתיחה","גבוה","נמוך","נפח","שינוי %"
"21.04.2021","13,876.88","13,745.83","13,893.90","13,707.08","415.77M","0.66%"
"20.04.2021","13,786.27","13,894.46","13,927.67","13,698.67","875.27M","-0.92%"
"19.04.2021","13,914.76","13,984.58","14,041.79","13,842.57","907.06M","-0.98%"
"16.04.2021","14,052.34","14,059.11","14,062.50","13,977.05","962.78M","0.10%"
"15.04.2021","14,038.76","13,983.23","14,049.13","13,970.42","867.56M","1.31%"
"14.04.2021","13,857.84","14,004.08","14,033.63","13,839.04","812.85M","-0.99%"
"13.04.2021","13,996.10","13,902.45","14,011.51","13,902.45","839.45M","1.05%"
"12.04.2021","13,850.00","13,854.44","13,877.00","13,783.95","894.01M","-0.36%"
"09.04.2021","13,900.18","13,787.01","13,905.41","13,748.35","785.76M","0.51%"
"08.04.2021","13,829.31","13,796.89","13,830.14","13,758.71","870.92M","1.03%"
"07.04.2021","13,688.84","13,675.30","13,733.03","13,653.58","819.48M","-0.07%"
"06.04.2021","13,698.38","13,681.67","13,776.71","13,674.28","870.63M","-0.05%"
"05.04.2021","13,705.59","13,594.90","13,720.58","13,582.75","916.61M","1.67%"
"01.04.2021","13,480.11","13,414.33","13,487.08","13,404.18","939.16M","1.76%"
"31.03.2021","13,246.87","13,122.57","13,325.54","13,118.38","1.21B","1.54%"
"30.03.2021","13,045.39","13,008.80","13,075.75","12,922.57","983.51M","-0.11%"
"29.03.2021","13,059.65","13,103.97","13,143.41","12,968.16","1.06B","-0.60%"
"26.03.2021","13,138.72","12,996.03","13,149.55","12,878.72","1.14B","1.24%"
"25.03.2021","12,977.68","12,844.58","13,021.86","12,786.81","1.17B","0.12%"
"24.03.2021","12,961.89","13,289.24","13,292.92","12,961.35","1.19B","-2.01%"
"23.03.2021","13,227.70","13,381.43","13,405.14","13,202.43","1.19B","-1.12%"
"22.03.2021","13,377.54","13,278.78","13,455.64","13,278.78","1.11B","1.23%"
"19.03.2021","13,215.24","13,119.90","13,252.37","13,039.45","2.93B","0.76%"
"18.03.2021","13,116.17","13,349.20","13,384.46","13,101.92","1.22B","-3.02%"
"17.03.2021","13,525.20","13,336.92","13,595.00","13,272.69","1.18B","0.40%"
"16.03.2021","13,471.57","13,523.17","13,620.71","13,397.08","1.10B","0.09%"
"15.03.2021","13,459.71","13,323.47","13,460.35","13,272.50","1.13B","1.05%"
"12.03.2021","13,319.87","13,222.81","13,324.69","13,158.72","1.09B","-0.59%"
"11.03.2021","13,398.67","13,273.31","13,433.62","13,246.33","1.19B","2.52%"
"10.03.2021","13,068.83","13,234.73","13,277.11","13,035.44","1.22B","-0.04%"
"09.03.2021","13,073.83","12,923.07","13,151.54","12,882.49","1.28B","3.69%"
"08.03.2021","12,609.16","12,904.26","13,001.00","12,599.23","1.27B","-2.41%"
"05.03.2021","12,920.15","12,860.04","12,941.21","12,397.05","1.56B","1.55%"
"04.03.2021","12,723.47","12,953.99","13,068.71","12,553.96","1.58B","-2.11%"
"03.03.2021","12,997.75","13,336.25","13,372.52","12,995.07","1.16B","-2.70%"
"02.03.2021","13,358.79","13,599.45","13,601.33","13,352.00","1.08B","-1.69%"
"01.03.2021","13,588.83","13,406.16","13,596.59","13,362.66","1.10B","3.01%"
"26.02.2021","13,192.34","13,232.90","13,368.06","13,024.53","1.44B","0.56%"
"25.02.2021","13,119.43","13,512.64","13,602.86","13,066.38","1.33B","-3.52%"
"24.02.2021","13,597.97","13,400.25","13,607.36","13,286.59","1.24B","0.99%"
"23.02.2021","13,465.20","13,262.61","13,526.09","13,003.98","1.64B","-0.50%"
"22.02.2021","13,533.05","13,714.20","13,757.06","13,530.96","1.37B","-2.46%"
"19.02.2021","13,874.46","13,929.20","13,985.58","13,842.60","1.31B","0.07%"
"18.02.2021","13,865.36","13,814.67","13,905.96","13,714.35","1.24B","-0.72%"
"17.02.2021","13,965.50","13,911.65","13,976.43","13,804.26","1.35B","-0.58%"
"16.02.2021","14,047.50","14,152.21","14,175.12","13,995.45","1.49B","-0.34%"
"12.02.2021","14,095.47","13,979.21","14,102.04","13,937.71","1.32B","0.50%"
"11.02.2021","14,025.77","14,045.21","14,058.91","13,916.84","1.98B","0.38%"
"10.02.2021","13,972.53","14,093.35","14,109.12","13,845.47","1.83B","-0.25%"
"09.02.2021","14,007.70","13,966.82","14,044.95","13,966.55","1.52B","0.14%"
"08.02.2021","13,987.64","13,937.06","13,987.74","13,894.15","1.61B","0.95%"
"05.02.2021","13,856.30","13,824.88","13,878.16","13,761.66","1.26B","0.57%"
"04.02.2021","13,777.74","13,674.06","13,778.42","13,631.62","1.29B","1.23%"
"03.02.2021","13,610.54","13,718.31","13,723.83","13,585.34","1.36B","-0.02%"
"02.02.2021","13,612.78","13,543.10","13,652.70","13,535.86","1.43B","1.56%"
"01.02.2021","13,403.39","13,226.18","13,431.46","13,132.47","1.39B","2.55%"
"29.01.2021","13,070.70","13,284.72","13,322.00","12,985.05","1.78B","-2.00%"
"28.01.2021","13,337.16","13,323.29","13,507.64","13,316.52","2.16B","0.50%"
"27.01.2021","13,270.60","13,486.58","13,538.42","13,192.91","2.19B","-2.61%"
"26.01.2021","13,626.07","13,681.72","13,702.69","13,603.19","1.25B","-0.07%"
"25.01.2021","13,635.99","13,681.21","13,728.98","13,368.68","1.43B","0.69%"
"22.01.2021","13,543.06","13,474.80","13,567.14","13,463.66","1.13B","0.09%"
"21.01.2021","13,530.92","13,521.48","13,560.35","13,454.08","1.34B","0.55%"
"20.01.2021","13,457.25","13,342.55","13,486.13","13,329.77","1.29B","1.97%"
"19.01.2021","13,197.18","13,132.73","13,206.86","13,078.70","1.22B","1.53%"
"15.01.2021","12,998.50","13,099.89","13,139.83","12,949.76","1.26B","-0.87%"
"14.01.2021","13,112.64","13,174.75","13,220.16","13,098.41","1.21B","-0.12%"
"13.01.2021","13,128.95","13,088.01","13,171.15","13,051.07","1.27B","0.43%"
"12.01.2021","13,072.43","13,062.06","13,105.04","12,963.92","1.25B","0.28%"
"11.01.2021","13,036.43","13,048.78","13,138.27","12,999.51","1.24B","-1.25%"
"08.01.2021","13,201.97","13,160.21","13,208.09","13,036.55","1.33B","1.03%"
"07.01.2021","13,067.48","12,867.34","13,090.91","12,867.34","1.25B","2.56%"
"06.01.2021","12,740.79","12,666.15","12,909.63","12,649.99","1.45B","-0.61%"
"05.01.2021","12,818.96","12,665.65","12,828.27","12,665.65","1.21B","0.95%"
"04.01.2021","12,698.45","12,958.52","12,958.72","12,543.24","1.27B","-1.47%"
"31.12.2020","12,888.28","12,877.09","12,902.07","12,821.23","987.15M","0.14%"
"30.12.2020","12,870.00","12,906.51","12,924.93","12,857.76","954.01M","0.15%"
"29.12.2020","12,850.22","12,965.39","12,973.33","12,821.96","896.81M","-0.38%"
"28.12.2020","12,899.42","12,914.64","12,930.89","12,827.45","978.34M","0.74%"
