תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %
21.04.2021,"1,692.91","1,691.69","1,694.97","1,684.35",51.51M,-0.29%
20.04.2021,"1,697.88","1,703.36","1,709.17","1,693.61",57.06M,-0.53%
19.04.2021,"1,706.97","1,708.57","1,714.95","1,703.96",68.09M,-0.24%
18.04.2021,"1,711.00","1,711.21","1,713.41","1,708.58",31.91M,0.81%
13.04.2021,"1,697.27","1,698.62","1,701.65","1,691.84",55.09M,0.07%
12.04.2021,"1,696.07","1,705.01","1,705.01","1,689.74",65.33M,-0.71%
11.04.2021,"1,708.25","1,703.09","1,708.48","1,701.67",37.93M,0.73%
08.04.2021,"1,695.93","1,689.41","1,697.17","1,689.41",51.59M,0.32%
07.04.2021,"1,690.58","1,686.48","1,694.33","1,682.74",53.45M,0.17%
06.04.2021,"1,687.76","1,692.92","1,695.23","1,685.29",54.18M,-0.25%
05.04.2021,"1,692.01","1,695.69","1,702.73","1,692.01",163.31M,-0.16%
04.04.2021,"1,694.74","1,685.09","1,694.93","1,685.09",28.38M,1.33%
01.04.2021,"1,672.50","1,665.41","1,675.75","1,665.26",26.75M,0.51%
31.03.2021,"1,664.07","1,662.18","1,667.64","1,656.41",30.02M,0.22%
30.03.2021,"1,660.34","1,661.34","1,664.96","1,656.20",25.21M,-0.39%
29.03.2021,"1,666.80","1,652.08","1,667.03","1,652.08",30.33M,1.85%
25.03.2021,"1,636.56","1,645.18","1,651.76","1,627.46",89.47M,-1.47%
24.03.2021,"1,660.98","1,653.93","1,663.14","1,651.16",55.40M,-0.44%
22.03.2021,"1,668.37","1,647.53","1,668.37","1,647.40",49.02M,1.16%
21.03.2021,"1,649.22","1,645.07","1,650.96","1,644.11",20.46M,-0.03%
18.03.2021,"1,649.77","1,652.60","1,657.09","1,644.59",82.06M,0.11%
17.03.2021,"1,647.90","1,665.13","1,665.13","1,643.24",66.78M,-1.27%
16.03.2021,"1,669.09","1,668.15","1,674.28","1,666.20",78.09M,0.51%
15.03.2021,"1,660.65","1,660.07","1,664.91","1,655.42",66.32M,0.05%
14.03.2021,"1,659.77","1,661.63","1,666.35","1,656.59",25.33M,0.31%
11.03.2021,"1,654.69","1,647.87","1,654.69","1,645.60",65.73M,1.22%
10.03.2021,"1,634.67","1,631.97","1,641.85","1,626.70",52.73M,0.21%
09.03.2021,"1,631.21","1,608.25","1,631.49","1,608.25",49.69M,1.36%
08.03.2021,"1,609.34","1,613.00","1,613.07","1,589.28",61.31M,-0.76%
07.03.2021,"1,621.68","1,615.51","1,621.74","1,613.26",47.44M,1.26%
04.03.2021,"1,601.54","1,606.19","1,615.61","1,598.87",76.00M,-0.81%
03.03.2021,"1,614.67","1,631.44","1,635.35","1,612.93",56.36M,-1.06%
02.03.2021,"1,631.94","1,626.52","1,637.64","1,624.15",65.51M,0.20%
01.03.2021,"1,628.70","1,617.95","1,628.70","1,617.47",96.31M,1.49%
28.02.2021,"1,604.78","1,583.92","1,609.95","1,583.30",36.39M,-0.20%
25.02.2021,"1,608.04","1,622.03","1,626.38","1,606.16",73.57M,-0.45%
24.02.2021,"1,615.34","1,611.17","1,626.55","1,605.16",100.44M,0.48%
23.02.2021,"1,607.67","1,644.45","1,646.75","1,597.72",97.39M,-2.43%
22.02.2021,"1,647.71","1,659.60","1,659.60","1,642.76",72.16M,-1.20%
21.02.2021,"1,667.74","1,653.19","1,667.98","1,653.19",24.31M,1.46%
18.02.2021,"1,643.77","1,659.64","1,667.47","1,643.77",59.07M,-1.28%
17.02.2021,"1,665.07","1,682.84","1,682.84","1,659.97",54.24M,-1.05%
